prot_dim,fp_dim,gconv_dim,hdims,disc_hdims,kaiming_constant,weighted_loss,dprob,disc_dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_gen__adagrad__lr_decay,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,score
8421,1024,128,"[2286, 1669, 2590]","[724, 561]",5,0.2912514228764475,0.0519347,0.13704442897802277,10,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,adadelta,0.054081864247936,0.46429573574730165,0.3499820093791986
8421,1024,128,"[2286, 1669, 2590]",665,5,0.17569494927409202,0.0519347,0.24519429118923516,14,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,adagrad,0.00576804596075596,0.00021622501616825465,0.34950960386086444
8421,1024,128,"[2286, 1669, 2590]","[297, 427]",5,0.7160985854223696,0.0519347,0.2647180796365379,11,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,adam,0.0033166439945024784,0.015727091376757683,0.3399312747284952
8421,1024,128,"[2286, 1669, 2590]","[485, 368]",5,0.3105165675252901,0.0519347,0.3024076556840653,10,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,adadelta,0.04158007131634749,0.003127560411392145,0.3009491221655614
8421,1024,128,"[2286, 1669, 2590]",407,5,0.7402344446250867,0.0519347,0.034324770611691695,12,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,adam,0.22295190518491748,0.0012079769807718992,0.29523873197887096
8421,1024,128,"[2286, 1669, 2590]","[486, 722]",5,0.5237816870668195,0.0519347,0.0959926247515687,17,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,adadelta,0.02083421723132108,0.00036291343876698886,0.2575746895430524
8421,1024,128,"[2286, 1669, 2590]",546,5,0.27343912950177024,0.0519347,0.31848280352350955,12,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,adamax,0.0013514865791745205,0.005415928932235243,0.23728473604657108
8421,1024,128,"[2286, 1669, 2590]","[258, 383]",5,0.7782320202800654,0.0519347,0.022944181326704147,12,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,adam,0.012120135490553928,0.00043691783475334044,0.1698779692338011
8421,1024,128,"[2286, 1669, 2590]",989,5,0.598417711409478,0.0519347,0.011375327528121482,8,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,sgd,0.00020339764639159505,0.3626292221724209,-0.058641177008041175
8421,1024,128,"[2286, 1669, 2590]","[995, 529]",5,0.20411903630400277,0.0519347,0.10337336068341302,9,256,512,512,adagrad,0.00312756,0.000867065,0.000496165,adamax,0.0002717497684698542,0.011133170743477238,-0.1976239880684743
